country_region,sub_region_1,date,Adrenal crisis,Ageusia,Allergic conjunctivitis,Amenorrhea,Angular cheilitis,Anosmia,Asphyxia,Atheroma,Auditory hallucination,Balance disorder,Beau's lines,Bleeding on probing,Burning Chest Pain,Burning mouth syndrome,Cataplexy,Chorea,Cleft lip and cleft palate,Clouding of consciousness,Crackles,Crepitus,Croup,Cyanosis,Depersonalization,Developmental disability,Dysautonomia,Dysgeusia,Dyspareunia,Dystonia,Dysuria,Epiphora,Esophagitis,Eye pain,Facial swelling,Fibrocystic breast changes,Focal seizure,Gastroparesis,Gingival recession,Globus pharyngis,Goitre,Grandiosity,Granuloma,Hemolysis,Hemoptysis,Hepatic encephalopathy,Hepatotoxicity,Hydrocephalus,Hypercalcaemia,Hypercapnia,Hyperemesis gravidarum,Hypersomnia,Hyperventilation,Hypocalcaemia,Hypochondriasis,Hypomania,Kyphosis,Laryngitis,Leukorrhea,Malabsorption,Male infertility,Mitral insufficiency,Muscle atrophy,Myoclonus,Nasal polyp,Neck mass,Neutropenia,Night terror,Nocturnal enuresis,Nystagmus,Onychorrhexis,Osteophyte,Papule,Pericarditis,Petechia,Photodermatitis,Photophobia,Polydipsia,Polyuria,Ptosis,Pulmonary edema,Rectal pain,Rectal prolapse,Rheum,Round ligament pain,Rumination,Sensitivity to sound,Shallow breathing,Spasticity,Splenomegaly,Sputum,Stomach rumble,Stridor,Subdural hematoma,Tachypnea,Tenderness,Thyroid nodule,Trichoptilosis,Upper respiratory tract infection,Urethritis,Urinary urgency,Ventricular fibrillation,hospitalized_new
United States,Alaska,2020-03-23,0.242394504,1,,0.190876351,,1,0.017390075,0.447194719,0.065826331,0.339399454,0.636959371,0.179012346,1,0.143041237,0.362886598,1,0.135953841,,0.41634981,,0.735821967,0.216049383,,0.164162493,0.205206738,1,0.097968937,0.159264931,0.5,1,0.197633136,0.696202532,0.274663677,0.431137725,0,0.04440333,0,1,0.250919118,0.413751508,0.517889088,1,0.16027088,,0.03588907,0.775308642,0,0.219484882,0.201906412,,0.589847716,0.112776025,0.786924939,0.269258459,0.308243728,0.120527307,0,0.398076923,0,0.046482412,0.272727273,,0.085585586,0.757238307,0.209459459,0.005382131,0.217204301,0.069109948,0.611778846,0.338593974,0.736035049,0.898587933,0.468663339,,0.406074241,,0.472340426,0.1224,0.358823529,0.039525692,0.240936556,0.499025341,0.229910714,0.659517426,0.324417601,0.653526971,0.31548312,0.509749304,1,0.264112903,0.513116474,0.173611111,0.454545455,0.147368421,0,0.058757062,0.431432123,0.044329897,,0.069175992,6
United States,Alaska,2020-03-30,0.134936212,0.282752121,0.04109589,0.070828331,,0.322086686,0.053442669,0.125412541,0.078431373,0.428571429,0.815203145,0.017489712,0.292993631,0.347938144,0.426804124,0.54942768,0.103498017,0.079175705,,,0.453697057,0.437242798,0.456839309,0.069560378,,0.770594369,0.035842294,,0.101136364,0.172653534,0.573964497,1,0.118834081,0.207869974,0.022835395,0,0.230109204,0.851963746,0,0.144752714,0.126118068,0.175026681,0.19751693,0.367217281,0.331158238,,0.049934297,0.480403135,0.129982669,0.302364865,1,0.238958991,0.700968523,0.429805616,0.396057348,,0.109108159,0.556730769,0.452380952,0.042085427,0.307692308,0,0.206306306,0,0.151182432,0.043057051,0.708602151,0.271204188,0.538461538,,0.598028478,0.424903723,0.490848586,,0.293588301,0.86,,0.0584,0.677941176,,0.195619335,,0.254464286,0.345844504,0,0.979253112,,0.159702878,0.761904762,0.076612903,0.687303253,0,0.546320346,0.115087719,0.142392189,0.785310734,0.250794089,0.148453608,0.650793651,0.07629705,14
United States,Alaska,2020-04-06,0.189892051,0.131008483,,0.343337335,0.156448203,0.003373994,0.021066026,0.45379538,,0.414922657,0.440366972,0.531893004,0.123566879,0.216494845,,0.985431842,0.10818608,,0.19581749,,0.234027279,0.599794239,0.091633466,0.107401224,,0.519290928,0.133811231,0,0.539772727,,1,0.573515093,0,0.069289991,0.236917222,0.56706753,0.036661466,0.811178248,0.366727941,0.369119421,0.200357782,0.278548559,0.030474041,0.125794155,0.319738989,0.282716049,0.193166886,0.414333707,0.101386482,0.489864865,0.553299492,0.226340694,0.182808717,0.400287977,0.563620072,0,0.326375712,0.267307692,0.133004926,,0.17016317,,0.281981982,0.121380846,0.075168919,0.193756728,0.293548387,0.343455497,0,0.024390244,0,0.274711168,0.190238491,,0.403824522,0.092,0,0.3072,0.527941176,0.574440053,0.249244713,0.227095517,0.170386905,0.341823056,0.008628128,0.201244813,0.044237485,0.369545032,0.433063792,0.848790323,,0.088541667,0.261471861,0.063859649,0.082180635,0.676836158,0.137826267,0.17628866,,,11
United States,Alaska,2020-04-13,0.001472031,,,0,0.042283298,0.103815209,0.033083557,0.2169967,0.492997199,0.232029117,0.718217562,0.131687243,0.2,0.472938144,0.239175258,0.4578564,0.082221421,0.324295011,0.201520913,0.181818182,0.194065566,0.288065844,1,0.116304953,,0.145985401,0.457586619,0.185298622,0.178409091,,0.268639053,0.47127556,0.48206278,0.121471343,0.426260704,0.405180389,0.460218409,0.354984894,0.533088235,0.346200241,0.555456172,0.294557097,0.132054176,0.003811944,0.17862969,0.177777778,0.02890933,0.143337066,0.472270364,0.826013514,0.535025381,0.293375394,0.260290557,0.386609071,0,,0.133776091,0.485576923,0.298029557,,0.255244755,0.290233838,,0.29844098,0.185810811,0.163616792,0.461290323,0.536125654,0.807692308,0.107604017,0.036144578,0.385109114,0.205768164,,,,0.65106383,0.352,0.966176471,,0.472054381,0.200779727,0.347470238,0.115281501,0.219154443,0.149377593,0.295692666,0.43454039,0.478436658,0.072580645,,0.023726852,0.138528139,0.203508772,0.544344996,0.572881356,0.130368734,0,,,5
United States,Alaska,2020-04-20,0.058390579,,0,0.475390156,,,0.013855507,0.580858086,0.544817927,0.515013649,0.602883355,0.16872428,0.185987261,0.300257732,0.105154639,0.242455775,0.21565092,0,0.041825095,0.571969697,0.108399139,0.280864198,0.406374502,0.223706177,,0.013555787,0.799283154,0.394333844,0.336363636,0.208574739,0,0.964946446,0.394618834,0.309666382,0.215033302,0.333024977,0.368954758,0.649546828,0.174632353,0.694813028,0.012522361,0.239060832,,,0.017944535,,0.182654402,0,0.471403813,0.109797297,0.872081218,0.426656151,0.300847458,0.313174946,0.585125448,,0.115749526,0.540384615,0.483579639,0.023869347,0.938228438,,0.300900901,0.305122494,0.374155405,0.388589882,0.612903226,0.563350785,0.616586538,0.038737446,0.705366922,0.898587933,0.315030505,,,,0.706382979,0,,,0.595166163,0.261208577,0.414434524,0.332439678,0.339085418,,0,0.363974002,0.275831087,0.483870968,0.486883526,,0.242424242,0.476491228,0.194467046,0.229378531,0.077337384,0.184536082,,0.268565615,-36
United States,Alaska,2020-04-27,0.133954858,0,,0.298919568,,0.044121464,0.101654178,0.142739274,0.56022409,0.828935396,0.366972477,0.516460905,,0.659793814,0.241924399,0.29760666,0.201226109,0.03362256,0.017110266,0.119949495,0.14381431,0,0.381142098,0.247078464,0.08575804,0.202294056,0.219832736,0.263399694,0.521590909,0.181923523,0.053254438,0.427458617,0.94058296,0,0.688867745,0.191489362,0.379095164,0.422960725,0.128676471,0.418576598,0.003577818,0.183564568,0.089164786,0.23252859,0.020391517,0.322222222,,0.517357223,0.36915078,0.567567568,0.231472081,0.417192429,0.155569007,0.249100072,0.468637993,,0.126185958,0.758653846,0.399014778,0.109296482,0.515151515,1,0.646846847,0.082405345,0.183277027,0.466092573,0.519354839,0.627225131,0.328125,0.330703013,0.579408543,0.562259307,0.17526345,0.563327032,0.775028121,0.476,1,0.12,,0.013175231,0.21978852,0.167641326,0.322172619,0.324396783,0.018119068,,0.003492433,0.720519963,0.345462713,0.288306452,0.140608604,0.045138889,0.329004329,0.274385965,0.591537836,0.477966102,0.034387516,0.288659794,0.26984127,0.353001017,0
United States,Alaska,2020-05-04,0.196761531,,0.060462919,0.292917167,,0.026732416,0.0695603,0.074257426,,0.622383985,0.416775885,0.544238683,0.566878981,0.326030928,0.114089347,0.27471384,0.194734944,0.267895879,,0.204545455,0.024168461,0.115226337,0.092961487,0.076794658,0.416539051,0.022940563,0.247311828,0.203675345,0.518181818,0.381228273,0.434319527,0.496592016,0.56838565,0.23609923,0.185537583,0.295097132,0.36349454,0.34592145,0.371323529,0.451145959,0.493738819,,,0.185514612,0.099510604,0.203703704,,1,0.298960139,0,0.209137056,0.152996845,,0.429085673,0.397849462,,0.406072106,0.410576923,0.456486043,0,0.631701632,0.354883081,0.062162162,0.324053452,0,0.073196986,0.33655914,0.276439791,0.717548077,0.25251076,0.73932092,0.093709884,0.447587354,1,0.31496063,,0.719148936,0.0776,0.058823529,0.635046113,0.499244713,0.23294347,0.197172619,0.194369973,0.296807593,,0.816065192,0.257195915,0.088050314,0.241935484,0.273871983,0.075231481,0.141991342,0.007719298,0.345809601,1,0.056345809,0.48556701,,0.424211597,0
United States,Alaska,2020-05-11,0.091265947,,1,0.162064826,,,0.082708893,0.194719472,0.18627451,0,0.892529489,0.186213992,,0.382731959,0.057731959,0.302809573,0.255319149,,0.216730038,0.313131313,,0.030864198,0.346613546,0.277128548,,0,0.498207885,0.191424196,0.294318182,0.924681344,0.431952663,0.437195716,0.651345291,0.063301967,0.209324453,0.080481036,0.100624025,0.478851964,0.580882353,0.948130277,0.385509839,,,,0.032626427,0.180246914,0.312746386,0.509518477,0.125649913,0.064189189,0.668020305,0.317823344,0.213075061,0.616270698,0.396057348,,0.262808349,0.468269231,0.330870279,0.119974874,0.187645688,,0.042342342,,0.057432432,,0.480645161,0.080628272,0.332932692,0.491391679,0.358159912,0.145057766,0.491403217,0.88594833,0.121484814,,0.868085106,0.304,,,0.202416918,0.317738791,0.253720238,0.167560322,0.203623814,0,0.305005821,0.253481894,0.141509434,0.197580645,,0.116319444,0.177489177,0.122105263,0.258746949,0.576271186,0.045435713,0.079381443,,0.158697864,0
United States,Alaska,2020-05-18,0.163395486,,0.592347662,0.192076831,0.583509514,0.059434207,0,0.188943894,,0.146496815,0.870249017,0.228395062,0.089171975,0,0.200687285,0.233090531,0,0.156182213,,,,0.03909465,0.237715803,0.171953255,,,,0.342266462,0.394318182,0.390498262,0.389349112,0.254138267,0.493273543,0.213857998,0.612749762,0.101757632,0.05850234,,0.466911765,0.542822678,0.342576029,,,0.404066074,0.278140294,0.609876543,0.285151117,0.865621501,0.159445407,,0.495431472,0.412460568,0.405569007,0.151907847,0.295698925,,0.216318786,0.302884615,0.38998358,,0,0.191196699,,0.330734967,0.271959459,0.142088267,0.460215054,0.47539267,,0.479913917,0.925520263,0.353016688,0.278424847,0.241965974,0.13048369,,,0.152,0.395588235,0.039525692,0.39652568,0.626705653,0.183779762,,0.106125971,,0.155995343,0.290622098,0.215633423,0.679435484,0.084994753,0.247106481,,0,0.205858421,0.297175141,0.010771993,0.15257732,,0.229908444,0
United States,Alaska,2020-05-25,0.099116781,,0.152574398,0.015606242,,,0.191856355,0.156765677,0.032212885,0.575978162,0.74180865,0.140946502,,0.24871134,0.035051546,0.596253902,0.130905157,,,,0,0.364197531,0.782204515,0.047301057,,,,0.351454824,0,0.201622248,0.288757396,0.444011685,0.920403587,0.366124893,0.283539486,0.035152636,0.208268331,,0.333639706,0.144752714,0.017889088,0.086446105,0.139954853,0.157560356,0.132952692,0.525925926,0.621550591,0.305711086,0.111785095,0.086148649,0.536040609,0.420347003,0.195520581,,0.275089606,,0.755218216,0.371153846,0.346469622,0.041457286,0.187645688,,0.152252252,0.20155902,0.34375,0,0.737634409,,0.426682692,0.131994261,0.752464403,0.084724005,0.731003882,0.356647763,0.434195726,,0.394326241,0.2568,,0.046113307,0.392749245,0.319688109,0.583333333,0.457104558,0.232959448,,0.145518044,,0.066936208,,0.058761805,0.117476852,0.031168831,0.157192982,0.061025224,0.149152542,0.011600608,0.001030928,0.138888889,0,0
